aika,sukupuoli,age_group,n,n_total
2024-05-01,naiset,25-54,2459,5367
2024-05-01,naiset,55-64,194,5367
2024-06-01,miehet,15-19,235,5931
2024-06-01,miehet,20-24,218,5931
2024-06-01,miehet,25-54,2128,5931
2024-06-01,miehet,55-64,96,5931
2024-06-01,naiset,15-19,145,5931
2024-06-01,naiset,20-24,310,5931
2024-06-01,naiset,25-54,2587,5931
2024-06-01,naiset,55-64,212,5931
2024-07-01,miehet,15-19,316,6249
2024-07-01,miehet,20-24,251,6249
2024-07-01,miehet,25-54,2255,6249
2024-07-01,miehet,55-64,100,6249
2024-07-01,naiset,15-19,207,6249
2024-07-01,naiset,20-24,313,6249
2024-07-01,naiset,25-54,2591,6249
2024-07-01,naiset,55-64,216,6249
