aika,toimiala_nimi,n,n_total,osuus,sija
2023-01-01,Majoitus- ja ravitsemistoiminta,272,5612,4.846756949394155,6
2023-01-01,Tukku- ja vähittäiskauppa,247,5612,4.40128296507484,7
2023-01-01,"Ammatillinen, tieteellinen ja tekninen toiminta",178,5612,3.171774768353528,8
2023-02-01,Hallinto- ja tukipalvelutoiminta,2094,5752,36.40472878998609,1
2023-02-01,Teollisuus,815,5752,14.168984700973574,2
2023-02-01,Rakentaminen,657,5752,11.4221140472879,3
2023-02-01,"Maa-, metsä- ja kalatalous",475,5752,8.257997218358831,4
2023-02-01,Julkinen hallinto,280,5752,4.867872044506258,5
2023-02-01,Majoitus- ja ravitsemistoiminta,271,5752,4.7114047287899865,6
2023-02-01,Tukku- ja vähittäiskauppa,238,5752,4.137691237830319,7
2023-02-01,"Ammatillinen, tieteellinen ja tekninen toiminta",170,5752,2.955493741307371,8
2023-03-01,Hallinto- ja tukipalvelutoiminta,2127,6088,34.93758212877792,1
2023-03-01,Teollisuus,901,6088,14.799605781865965,2
2023-03-01,Rakentaminen,651,6088,10.693166885676742,3
2023-03-01,"Maa-, metsä- ja kalatalous",533,6088,8.754927726675426,4
2023-03-01,Julkinen hallinto,307,6088,5.042706964520368,5
2023-03-01,Majoitus- ja ravitsemistoiminta,292,6088,4.7963206307490145,6
2023-03-01,Tukku- ja vähittäiskauppa,261,6088,4.28712220762155,7
2023-03-01,"Ammatillinen, tieteellinen ja tekninen toiminta",179,6088,2.940210249671485,8
2023-04-01,Hallinto- ja tukipalvelutoiminta,2157,6386,33.7770122142186,1
2023-04-01,Teollisuus,975,6386,15.267773253993111,2
2023-04-01,Rakentaminen,665,6386,10.413404321954275,3
2023-04-01,"Maa-, metsä- ja kalatalous",607,6386,9.505167554024428,4
2023-04-01,Julkinen hallinto,326,6386,5.104917005950517,5
2023-04-01,Majoitus- ja ravitsemistoiminta,298,6386,4.666457876605073,6
2023-04-01,Tukku- ja vähittäiskauppa,281,6386,4.400250548073912,7
2023-04-01,"Ammatillinen, tieteellinen ja tekninen toiminta",208,6386,3.2571249608518635,8
2023-05-01,Hallinto- ja tukipalvelutoiminta,2270,7128,31.846240179573513,1
2023-05-01,Teollisuus,1026,7128,14.393939393939394,2
2023-05-01,"Maa-, metsä- ja kalatalous",874,7128,12.261503928170594,3
2023-05-01,Rakentaminen,681,7128,9.553872053872054,4
2023-05-01,Julkinen hallinto,355,7128,4.980359147025814,5
2023-05-01,Majoitus- ja ravitsemistoiminta,349,7128,4.89618406285073,6
2023-05-01,Tukku- ja vähittäiskauppa,336,7128,4.713804713804714,7
2023-05-01,"Ammatillinen, tieteellinen ja tekninen toiminta",228,7128,3.1986531986531985,8
2023-06-01,Hallinto- ja tukipalvelutoiminta,2515,8614,29.196656605525888,1
2023-06-01,"Maa-, metsä- ja kalatalous",1462,8614,16.972370559554214,2
2023-06-01,Teollisuus,1130,8614,13.118179707452985,3
2023-06-01,Rakentaminen,789,8614,9.159507778035755,4
2023-06-01,Julkinen hallinto,433,8614,5.026700719758533,5
2023-06-01,Majoitus- ja ravitsemistoiminta,432,8614,5.015091711167866,6
2023-06-01,Tukku- ja vähittäiskauppa,397,8614,4.608776410494544,7
2023-06-01,Muu palvelutoiminta,274,8614,3.1808683538425817,8
2023-07-01,"Maa-, metsä- ja kalatalous",3094,10727,28.84310618066561,1
2023-07-01,Hallinto- ja tukipalvelutoiminta,2587,10727,24.11671483173301,2
2023-07-01,Teollisuus,1165,10727,10.860445604549268,3
2023-07-01,Rakentaminen,828,10727,7.718840309499394,4
2023-07-01,Tukku- ja vähittäiskauppa,651,10727,6.068798359280321,5
2023-07-01,Majoitus- ja ravitsemistoiminta,494,10727,4.605201827165097,6
2023-07-01,Julkinen hallinto,321,10727,2.992448960566794,7
2023-07-01,Muu palvelutoiminta,259,10727,2.4144681644448585,8
2023-08-01,"Maa-, metsä- ja kalatalous",3900,11697,33.341882533983075,1
2023-08-01,Hallinto- ja tukipalvelutoiminta,2627,11697,22.458750106865008,2
2023-08-01,Teollisuus,1203,11697,10.284688381636316,3
2023-08-01,Rakentaminen,863,11697,7.377960160724973,4
2023-08-01,Tukku- ja vähittäiskauppa,552,11697,4.719158758656065,5
2023-08-01,Majoitus- ja ravitsemistoiminta,502,11697,4.291698726169104,6
2023-08-01,Julkinen hallinto,389,11697,3.3256390527485675,7
2023-08-01,Muu palvelutoiminta,259,11697,2.214242968282466,8
2023-09-01,Hallinto- ja tukipalvelutoiminta,2646,9516,27.80580075662043,1
2023-09-01,"Maa-, metsä- ja kalatalous",1795,9516,18.862967633459437,2
2023-09-01,Teollisuus,1270,9516,13.345943673812528,3
2023-09-01,Rakentaminen,862,9516,9.058427910886929,4
2023-09-01,Tukku- ja vähittäiskauppa,467,9516,4.9075241698192515,5
2023-09-01,Majoitus- ja ravitsemistoiminta,457,9516,4.80243799915931,6
2023-09-01,Julkinen hallinto,387,9516,4.066834804539723,7
2023-09-01,Muu palvelutoiminta,249,9516,2.6166456494325345,8
